ORDER_ID,CUSTOMER_ID,BOOK_ID,ORDER_DATE,QUANTITY,TOTAL_AMOUNT
171,364,397,2023-01-12,10,281.50
173,399,61,2023-07-01,5,205.25
174,34,29,2023-12-17,4,124.48
175,385,103,2023-10-12,1,43.25
176,86,479,2023-09-19,6,229.62
178,70,298,2023-05-03,10,466.60
179,325,52,2023-02-01,9,148.77
180,460,227,2023-01-20,7,267.19
181,8,117,2023-01-18,3,44.61
182,129,293,2023-11-01,7,125.51
185,15,25,2023-03-09,6,51.30
186,167,120,2023-04-03,7,336.21
187,119,275,2023-12-30,1,25.83
188,46,425,2023-03-13,1,24.23
193,474,36,2023-03-31,7,241.57
195,437,241,2023-07-17,2,28.12
196,214,468,2023-04-03,7,214.13
198,373,117,2023-06-13,1,14.87
200,313,303,2023-11-23,1,6.57
201,67,463,2023-10-11,4,47.96
202,137,69,2023-12-17,8,70.32
203,116,110,2023-12-27,4,120.60
204,47,427,2023-05-26,3,54.00
205,279,457,2023-03-21,2,56.44
206,81,130,2023-07-19,1,6.64
207,194,461,2023-09-06,1,9.60
210,287,223,2023-10-14,6,39.12
213,325,447,2023-11-17,7,253.75
215,461,138,2023-08-17,8,198.16
220,376,275,2023-07-07,1,25.83
221,353,219,2023-09-10,5,104.50
222,331,157,2023-09-19,10,191.70
225,272,115,2023-06-08,4,112.48
227,461,308,2023-05-04,8,166.00
230,307,241,2023-09-10,7,98.42
231,22,384,2023-11-11,1,33.92
237,47,199,2023-08-15,7,299.67
239,132,307,2023-09-19,5,72.15
240,457,492,2023-05-30,10,440.70
242,416,410,2023-06-15,9,398.97
245,386,97,2023-11-01,9,411.66
248,312,285,2023-09-09,9,248.85
249,131,189,2023-01-15,8,109.20
250,63,65,2023-09-16,9,204.30
251,109,490,2023-12-12,2,25.76
252,405,387,2023-11-15,5,237.10
253,449,273,2023-01-03,3,37.29
254,99,469,2023-07-18,2,46.50
255,217,406,2023-04-19,4,143.16
257,123,403,2023-11-06,1,15.01
258,179,387,2023-08-08,3,142.26
259,437,77,2023-01-08,2,88.56
261,200,288,2023-07-25,8,223.28
264,290,13,2023-10-29,9,126.36
266,167,426,2023-06-02,10,328.20
271,462,40,2023-07-01,1,25.97
275,495,31,2023-01-05,2,42.46
280,181,377,2023-05-11,8,318.32
284,325,466,2023-01-06,4,148.68
286,96,264,2023-04-23,2,41.02
287,74,163,2023-06-25,3,57.33
288,6,128,2023-11-13,1,24.04
289,321,491,2023-08-30,2,29.74
294,21,302,2023-10-01,4,114.68
296,181,486,2023-09-13,1,19.13
300,90,485,2023-12-09,7,162.12
303,423,31,2023-08-12,6,127.38
305,107,266,2023-12-18,4,133.16
307,368,133,2023-11-17,1,20.96
308,499,485,2023-02-19,10,231.60
310,338,334,2023-10-05,3,107.04
312,209,208,2023-04-23,10,250.00
313,57,105,2023-10-11,8,240.16
315,281,119,2023-03-22,8,399.04
317,400,88,2023-01-06,10,402.20
321,114,386,2023-08-05,8,50.88
322,270,112,2023-11-08,2,16.04
323,36,412,2023-06-27,6,58.98
324,306,214,2023-01-31,7,127.12
325,60,394,2023-07-10,1,27.15
329,171,171,2023-09-23,5,160.75
330,265,65,2023-01-10,10,227.00
331,429,143,2023-07-15,1,43.65
332,41,113,2023-07-25,2,12.76
335,184,334,2023-06-05,7,249.76
336,141,371,2023-06-23,9,156.60
337,230,455,2023-12-06,5,135.15
338,165,486,2023-01-13,2,38.26
340,460,222,2023-03-02,8,236.72
342,178,462,2023-08-24,1,49.23
343,75,124,2023-01-03,7,189.70
344,385,218,2023-11-25,5,26.80
345,325,253,2023-07-04,2,23.32
347,2,118,2023-02-23,3,16.56
348,239,158,2023-03-19,7,172.83
349,159,73,2023-04-15,2,42.46
351,425,219,2023-02-26,8,167.20
352,178,436,2023-03-19,7,111.30
353,14,360,2023-08-03,5,246.70
355,437,443,2023-10-23,6,264.30
357,163,150,2023-07-06,9,287.55
358,474,45,2023-01-30,8,203.92
359,301,378,2023-08-23,6,36.06
361,415,448,2023-07-27,6,37.56
363,153,91,2023-03-04,2,55.64
365,301,200,2023-02-28,7,69.72
367,497,309,2023-04-04,5,58.70
368,17,488,2023-05-17,10,491.50
372,290,57,2023-01-21,3,70.77
375,115,58,2023-07-19,3,103.62
376,360,320,2023-03-02,7,35.49
377,194,208,2023-12-03,5,125.00
379,313,135,2023-06-21,7,105.91
381,485,377,2023-07-22,8,318.32
383,145,8,2023-04-04,3,146.97
386,226,52,2023-05-05,5,82.65
388,125,232,2023-08-04,6,57.72
389,485,391,2023-11-18,2,66.84
390,94,73,2023-10-01,10,212.30
391,30,330,2023-05-20,8,256.16
396,59,424,2023-04-09,6,243.00
397,368,73,2023-01-19,6,127.38
398,273,334,2023-07-21,9,321.12
401,154,475,2023-12-06,1,47.76
406,438,78,2023-02-17,10,130.70
408,485,299,2023-12-13,4,112.76
411,486,208,2023-10-29,8,200.00
413,158,314,2023-07-12,3,28.77
414,23,234,2023-11-10,1,7.15
415,336,10,2023-07-07,1,24.63
416,149,211,2023-12-29,1,16.19
418,153,372,2023-12-04,2,35.46
419,330,313,2023-05-15,3,141.48
421,56,183,2023-04-01,5,77.00
422,322,176,2023-12-25,8,128.88
425,98,308,2023-02-14,6,124.50
427,287,434,2023-09-11,7,319.06
428,214,175,2023-02-16,10,328.50
429,449,146,2023-11-01,7,101.50
432,420,168,2023-11-04,3,42.39
433,37,223,2023-03-01,6,39.12
434,45,83,2023-10-20,10,89.40
435,13,230,2023-04-14,8,48.80
437,183,360,2023-10-31,6,296.04
439,346,419,2023-05-20,3,27.84
440,195,343,2023-08-31,9,387.27
442,57,129,2023-05-20,8,325.92
446,485,380,2023-09-18,3,39.51
447,379,422,2023-08-05,1,45.91
449,490,222,2023-11-18,1,29.59
450,451,288,2023-05-18,8,223.28
451,87,307,2023-08-04,10,144.30
453,22,418,2023-04-19,8,255.04
455,84,409,2023-10-31,2,43.12
458,160,127,2023-02-19,6,69.96
460,445,237,2023-05-24,2,80.86
461,317,196,2023-11-18,9,60.21
465,337,414,2023-01-16,7,157.85
467,390,273,2023-07-22,10,124.30
468,162,237,2023-11-22,6,242.58
472,145,136,2023-08-07,6,59.34
474,194,138,2023-03-24,9,222.93
475,284,161,2023-03-02,7,151.20
476,387,379,2023-04-02,5,28.50
477,162,454,2023-05-30,7,66.92
479,328,197,2023-12-26,7,301.21
480,415,146,2023-06-21,7,101.50
481,405,353,2023-07-07,10,469.70
483,459,202,2023-11-23,10,122.60
484,500,274,2023-08-31,6,292.80
485,140,230,2023-02-04,5,30.50
486,322,110,2023-04-26,2,60.30
487,102,245,2023-12-23,7,112.42
488,47,18,2023-05-23,4,157.88
489,211,471,2023-02-22,5,226.90
490,173,93,2023-02-15,9,156.87
491,425,72,2023-10-14,10,465.40
495,216,497,2023-03-31,3,72.30
497,328,272,2023-04-25,10,51.60
499,140,48,2023-08-26,1,24.70
